# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000016 0.001000
28 2.850000 0.002095 0.143950
29 2.950000 0.046787 3.444950
30 3.050000 0.262655 20.672750
31 3.150000 0.579780 48.674000
32 3.250000 0.791739 70.755700
33 3.350000 0.841863 79.936250
34 3.450000 0.795450 80.105800
35 3.550000 0.760149 81.052850
36 3.650000 0.886121 99.882950
37 3.750000 1.094072 130.173150
38 3.850000 1.197976 150.238900
39 3.950000 1.190948 157.217050
40 4.050000 1.110575 154.124150
41 4.150000 0.979659 142.752550
42 4.250000 0.842184 128.705600
43 4.350000 0.730453 116.945500
44 4.450000 0.650786 109.036250
45 4.550000 0.595973 104.390800
46 4.650000 0.564491 103.270300
47 4.750000 0.548374 104.683100
48 4.850000 0.549849 109.430800
49 4.950000 0.566954 117.535950
50 5.050000 0.615307 132.766100
51 5.150000 0.755033 169.431200
52 5.250000 0.959046 223.650900
53 5.350000 1.102528 266.999250
54 5.450000 1.108362 278.540000
55 5.550000 1.007161 262.480950
56 5.650000 0.894793 241.675450
57 5.750000 0.825429 230.902200
58 5.850000 0.799851 231.597350
59 5.950000 0.818287 245.105200
60 6.050000 0.827815 256.363950
61 6.150000 0.816651 261.336200
62 6.250000 0.851116 281.294800
63 6.350000 0.922961 314.878900
64 6.450000 0.999660 351.871750
65 6.550000 1.069977 388.391500
66 6.650000 1.128955 422.408500
67 6.750000 1.166132 449.539700
68 6.850000 1.188583 471.871150
69 6.950000 1.212933 495.700500
70 7.050000 1.216038 511.373350
71 7.150000 1.202231 520.011200
72 7.250000 1.184488 526.768000
73 7.350000 1.173796 536.512800
74 7.450000 1.180057 554.151150
75 7.550000 1.204392 580.864000
76 7.650000 1.232487 610.264600
77 7.750000 1.242670 631.497950
78 7.850000 1.227598 640.041600
79 7.950000 1.188640 635.619700
80 8.050000 1.133455 621.453800
81 8.150000 1.102638 619.670600
82 8.250000 1.112209 640.482300
83 8.350000 1.120093 660.754150
84 8.450000 1.135241 685.826400
85 8.550000 1.132984 700.759250
86 8.650000 1.098388 695.345600
87 8.750000 1.082468 701.203700
88 8.850000 1.093361 724.541250
89 8.950000 1.101631 746.612150
90 9.050000 1.093359 757.657250
91 9.150000 1.077062 762.949200
92 9.250000 1.064079 770.318500
93 9.350000 1.070144 791.549650
94 9.450000 1.099027 830.395100
95 9.550000 1.137783 877.968950
96 9.650000 1.159433 913.509800
97 9.750000 1.148495 923.742750
98 9.850000 1.112122 912.930350
99 9.950000 1.069113 895.535350
100 10.050000 1.050250 897.506250
101 10.150000 1.043485 909.559300
102 10.250000 1.055439 938.196250
103 10.350000 1.091391 989.177050
104 10.450000 1.131078 1045.051900
105 10.550000 1.137900 1071.573100
106 10.650000 1.111872 1067.005900
107 10.750000 1.076641 1052.690900
108 10.850000 1.049386 1045.219300
109 10.950000 1.033943 1048.908200
110 11.050000 1.030362 1064.455050
111 11.150000 1.032334 1085.882250
112 11.250000 1.045377 1119.414000
113 11.350000 1.055866 1150.836150
114 11.450000 1.058213 1173.807850
115 11.550000 1.052485 1187.934900
116 11.650000 1.041465 1195.940100
117 11.750000 1.031836 1205.310950
118 11.850000 1.018642 1210.239300
119 11.950000 1.009494 1219.697850
120 12.050000 1.008108 1238.494150
121 12.150000 0.997249 1245.571950
122 12.250000 0.974435 1237.194650
123 12.350000 0.956474 1234.297300
124 12.450000 0.953139 1249.994200
125 12.550000 0.969847 1292.419650
126 12.650000 0.993693 1345.383700
127 12.750000 1.003976 1380.881900
