# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000005 0.000500
28 2.850000 0.000818 0.097600
29 2.950000 0.022377 2.859400
30 3.050000 0.174029 23.771400
31 3.150000 0.512284 74.638900
32 3.250000 0.799449 123.991150
33 3.350000 0.884131 145.693300
34 3.450000 0.861323 150.534950
35 3.550000 0.855435 158.298450
36 3.650000 0.953376 186.501800
37 3.750000 1.132939 233.938750
38 3.850000 1.250630 272.197000
39 3.950000 1.256293 287.818250
40 4.050000 1.202264 289.562950
41 4.150000 1.128463 285.375400
42 4.250000 1.048223 278.012650
43 4.350000 0.976356 271.281200
44 4.450000 0.908234 264.089350
45 4.550000 0.851888 258.963550
46 4.650000 0.810149 257.219500
47 4.750000 0.794398 263.183300
48 4.850000 0.794935 274.566800
49 4.950000 0.797994 287.106650
50 5.050000 0.799881 299.530500
51 5.150000 0.844278 328.801100
52 5.250000 0.959615 388.372700
53 5.350000 1.064740 447.490900
54 5.450000 1.096456 478.208650
55 5.550000 1.080922 488.892450
56 5.650000 1.044074 489.397100
57 5.750000 1.006465 488.616000
58 5.850000 0.978228 491.569500
59 5.950000 0.957975 497.990600
60 6.050000 0.953954 512.709200
61 6.150000 0.973179 540.475800
62 6.250000 1.001935 574.688500
63 6.350000 1.044476 618.413700
64 6.450000 1.086826 663.915200
65 6.550000 1.147942 723.162250
66 6.650000 1.198354 778.146800
67 6.750000 1.223906 818.820750
68 6.850000 1.230758 847.982600
69 6.950000 1.222973 867.400400
70 7.050000 1.203313 878.193200
71 7.150000 1.189417 892.851500
72 7.250000 1.174963 906.845800
73 7.350000 1.160159 920.291350
74 7.450000 1.156145 942.232550
75 7.550000 1.164339 974.555300
76 7.650000 1.181094 1014.940450
77 7.750000 1.203377 1061.300500
78 7.850000 1.198704 1084.636950
79 7.950000 1.162328 1078.688850
80 8.050000 1.115368 1061.312300
81 8.150000 1.083434 1056.697900
82 8.250000 1.066050 1065.414200
83 8.350000 1.066827 1092.195100
84 8.450000 1.070166 1122.012200
85 8.550000 1.080932 1160.282900
86 8.650000 1.102003 1210.732200
87 8.750000 1.113449 1251.755300
88 8.850000 1.102033 1267.401800
89 8.950000 1.073598 1262.759950
90 9.050000 1.044638 1256.307400
91 9.150000 1.038810 1277.059850
92 9.250000 1.052493 1322.317750
93 9.350000 1.056203 1355.825800
94 9.450000 1.047778 1373.933900
95 9.550000 1.036065 1387.480250
96 9.650000 1.035226 1415.543250
97 9.750000 1.044132 1457.464050
98 9.850000 1.047751 1492.669600
99 9.950000 1.045974 1520.548550
100 10.050000 1.043157 1547.088000
101 10.150000 1.037522 1569.504000
102 10.250000 1.028114 1586.068500
103 10.350000 1.017461 1600.410800
104 10.450000 1.011265 1621.551850
105 10.550000 1.020121 1667.207200
106 10.650000 1.034982 1723.713500
107 10.750000 1.046483 1775.752550
108 10.850000 1.054963 1823.601450
109 10.950000 1.055853 1858.937950
110 11.050000 1.045285 1874.099400
111 11.150000 1.033630 1886.896950
112 11.250000 1.013642 1883.748050
113 11.350000 0.988403 1869.643650
114 11.450000 0.966480 1860.532250
115 11.550000 0.956970 1874.542350
116 11.650000 0.955684 1904.581250
117 11.750000 0.966801 1959.953450
118 11.850000 0.976615 2013.692250
119 11.950000 0.972783 2039.788400
120 12.050000 0.959557 2045.869900
121 12.150000 0.949125 2057.354950
122 12.250000 0.950692 2094.813200
123 12.350000 0.951162 2130.204800
124 12.450000 0.944295 2149.212750
125 12.550000 0.933299 2158.447850
126 12.650000 0.918474 2158.147150
127 12.750000 0.902013 2153.109350
